春申景城湖畔林语,2室1厅,83.58平米,https://sh.lianjia.com/chengjiao/107102149580.html,2020.01.12,578,挂牌589万,成交周期3天,69156,高楼层(共17层),2008年建板楼,南 , 精装
高兴花园,2室1厅,70.2平米,https://sh.lianjia.com/chengjiao/107101739948.html,2020.01.11,318,挂牌325万,成交周期124天,45300,高楼层(共6层),1996年建板楼,南 , 简装
虹梅菁典,2室2厅,78.44平米,https://sh.lianjia.com/chengjiao/107102085875.html,2020.01.11,391,挂牌410万,成交周期25天,49848,中楼层(共6层),2011年建板楼,南 , 其他
蔷薇新村,2室1厅,63.54平米,https://sh.lianjia.com/chengjiao/107101835653.html,2020.01.07,228,挂牌235万,成交周期90天,35883,高楼层(共6层),1995年建板楼,东南 , 简装
银河新都,2室2厅,70.97平米,https://sh.lianjia.com/chengjiao/107102046209.html,2020.01.06,326,挂牌342万,成交周期32天,45935,中楼层(共11层),2010年建板楼,南 , 简装
春馨苑,2室1厅,61.04平米,https://sh.lianjia.com/chengjiao/107101473528.html,2020.01.05,280,挂牌292万,成交周期193天,45872,中楼层(共7层),1999年建板楼,南 北 , 简装
高兴花园,2室1厅,59.15平米,https://sh.lianjia.com/chengjiao/107101980209.html,2020.01.02,318,挂牌330万,成交周期49天,53762,高楼层(共6层),1996年建板楼,南 北 , 精装
普乐二村,2室1厅,64.2平米,https://sh.lianjia.com/chengjiao/107101956388.html,2019.12.29,236,挂牌245万,成交周期52天,36761,中楼层(共6层),1994年建板楼,南 , 简装
华唐苑,2室2厅,96.05平米,https://sh.lianjia.com/chengjiao/107102102739.html,2019.12.29,320,挂牌400万,成交周期6天,33316,中楼层(共6层),2002年建板楼,南 , 精装
虹景苑,1室1厅,62.77平米,https://sh.lianjia.com/chengjiao/107102040065.html,2019.12.29,237,挂牌247万,成交周期26天,37757,中楼层(共6层),2001年建板楼,南 , 简装
祥生瑞和苑,1室1厅,62.3平米,https://sh.lianjia.com/chengjiao/107101790891.html,2019.12.25,241,挂牌255万,成交周期91天,38684,低楼层(共12层),2013年建板楼,南 , 其他
莲花新村,2室1厅,60.19平米,https://sh.lianjia.com/chengjiao/107101565142.html,2019.12.24,279,挂牌300万,成交周期156天,46354,高楼层(共6层),1998年建板楼,南 , 简装
中海寰宇天下,3室2厅,100平米,https://sh.lianjia.com/chengjiao/107102029357.html,2019.12.24,654,挂牌690万,成交周期25天,65340,中楼层(共21层),2015年建板楼,南 , 精装
锦梅馨苑,3室1厅,90.51平米,https://sh.lianjia.com/chengjiao/107101877790.html,2019.12.23,521,挂牌542万,成交周期69天,57563,低楼层(共19层),2010年建板楼,南 , 精装
春馨苑,2室1厅,78.9平米,https://sh.lianjia.com/chengjiao/107102078017.html,2019.12.22,375,挂牌385万,成交周期8天,47529,中楼层(共6层),1999年建板楼,南 , 精装
银河新都,2室1厅,69.72平米,https://sh.lianjia.com/chengjiao/107101574881.html,2019.12.22,316,挂牌326万,成交周期150天,45325,中楼层(共11层),2007年建板楼,南 , 毛坯
高兴花园,2室2厅,70.04平米,https://sh.lianjia.com/chengjiao/107102057685.html,2019.12.20,317,挂牌325万,成交周期12天,45260,高楼层(共6层),1998年建板楼,南 , 精装
绿地春申花园,2室2厅,101.48平米,https://sh.lianjia.com/chengjiao/107102022506.html,2019.12.18,650,挂牌665万,成交周期20天,64053,高楼层(共6层),2003年建板楼,南 北 , 精装
锦梅馨苑,2室2厅,89.48平米,https://sh.lianjia.com/chengjiao/107101142320.html,2019.12.17,545,挂牌565万,成交周期272天,60908,中楼层(共18层),2010年建板楼,南 , 精装
森安苑,2室1厅,70.58平米,https://sh.lianjia.com/chengjiao/107101963104.html,2019.12.17,278,挂牌283万,成交周期38天,39388,低楼层(共6层),2002年建板楼,南 , 精装
高兴花园,2室2厅,76.77平米,https://sh.lianjia.com/chengjiao/107102031161.html,2019.12.13,332,挂牌355万,成交周期13天,43247,高楼层(共6层),1998年建板楼,南 , 简装
