黎明花园,1室1厅,52.24平米,https://sh.lianjia.com/chengjiao/107101427144.html,2020.01.11,232,挂牌244万,成交周期212天,44411,低楼层(共6层),1997年建板楼,南 , 简装
新都名园,2室2厅,82.62平米,https://sh.lianjia.com/chengjiao/107101613252.html,2020.01.08,445,挂牌450万,成交周期157天,53862,低楼层(共11层),2010年建板楼,南 , 精装
黎明花园,2室1厅,54.38平米,https://sh.lianjia.com/chengjiao/107102073969.html,2020.01.06,212,挂牌235万,成交周期24天,38985,高楼层(共6层),1995年建板楼,南 , 毛坯
秀枫翠谷,2室1厅,65.8平米,https://sh.lianjia.com/chengjiao/107101030578.html,2020.01.06,403,挂牌408万,成交周期321天,61247,低楼层(共6层),1994年建板楼,南 , 精装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101855201.html,2020.01.05,373,挂牌385万,成交周期84天,74111,低楼层(共6层),1995年建板楼,南 , 简装
秀枫翠谷,2室1厅,77.28平米,https://sh.lianjia.com/chengjiao/107101813178.html,2020.01.05,399,挂牌408万,成交周期96天,51605,高楼层(共6层),1994年建板楼,南 , 精装
富丽公寓(西区),2室2厅,86.51平米,https://sh.lianjia.com/chengjiao/107102110770.html,2020.01.05,425,挂牌458万,成交周期10天,49128,低楼层(共8层),1994年建板楼,南 , 精装
万科优诗美地,2室1厅,83.68平米,https://sh.lianjia.com/chengjiao/107102094793.html,2020.01.01,470,挂牌485万,成交周期12天,56167,中楼层(共11层),2000年建板楼,南 北 , 简装
学院新村,2室1厅,69.01平米,https://sh.lianjia.com/chengjiao/107101904855.html,2019.12.31,424,挂牌450万,成交周期69天,61441,高楼层(共6层),1997年建板楼,南 , 精装
万泰花园,2室1厅,68.48平米,https://sh.lianjia.com/chengjiao/107101961629.html,2019.12.30,365,挂牌380万,成交周期51天,53301,低楼层(共6层),1997年建板楼,南 , 简装
碧林湾(公寓),3室2厅,87.8平米,https://sh.lianjia.com/chengjiao/107101723508.html,2019.12.29,586,挂牌615万,成交周期115天,66743,高楼层(共6层),2004年建板楼,南 , 简装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101993408.html,2019.12.26,370,挂牌385万,成交周期38天,73515,中楼层(共6层),1995年建板楼,南 , 精装
惠明苑,2室2厅,94.53平米,https://sh.lianjia.com/chengjiao/107101438793.html,2019.12.25,445,挂牌460万,成交周期192天,47076,高楼层(共13层),2008年建板楼,南 , 毛坯
佳宝新村,2室1厅,61.39平米,https://sh.lianjia.com/chengjiao/107102004675.html,2019.12.25,278,挂牌288万,成交周期33天,45285,高楼层(共6层),1994年建板楼,南 , 精装
园艺新村,3室1厅,68.18平米,https://sh.lianjia.com/chengjiao/107101889717.html,2019.12.24,378,挂牌388万,成交周期67天,55442,低楼层(共6层),1995年建板楼,南 , 简装
茂盛城市花园,2室1厅,70.48平米,https://sh.lianjia.com/chengjiao/107102101534.html,2019.12.24,516,挂牌525万,成交周期1天,73213,中楼层(共6层),1999年建板楼,南 , 简装
万科城市花园,3室2厅,101.41平米,https://sh.lianjia.com/chengjiao/107102019527.html,2019.12.23,495,挂牌520万,成交周期26天,48812,低楼层(共7层),1995年建板楼,南 , 简装
万科魅力之城,2室1厅,90.69平米,https://sh.lianjia.com/chengjiao/107101998282.html,2019.12.22,511,挂牌535万,成交周期32天,56346,高楼层(共6层),2004年建板楼,南 , 简装
万科城市花园,2室1厅,50.23平米,https://sh.lianjia.com/chengjiao/107101980208.html,2019.12.22,290,挂牌310万,成交周期37天,57735,低楼层(共6层),1994年建板楼,南 , 精装
三佳花苑,2室1厅,58.64平米,https://sh.lianjia.com/chengjiao/107101393453.html,2019.12.19,388,挂牌408万,成交周期199天,66167,中楼层(共6层),1994年建板楼,南 北 , 精装
万科城花新园,3室2厅,98.57平米,https://sh.lianjia.com/chengjiao/107101904396.html,2019.12.15,621,挂牌650万,成交周期54天,63001,中楼层(共11层),2010年建板楼,南 北 , 精装
万科城市花园,2室2厅,73.48平米,https://sh.lianjia.com/chengjiao/107102060644.html,2019.12.15,378,挂牌395万,成交周期6天,51443,中楼层(共7层),1994年建板楼,南 , 精装
万泰花园,2室1厅,65.76平米,https://sh.lianjia.com/chengjiao/107102004049.html,2019.12.15,357,挂牌370万,成交周期23天,54289,中楼层(共6层),1997年建板楼,南 , 简装
万科优诗美地,3室2厅,104.48平米,https://sh.lianjia.com/chengjiao/107101971442.html,2019.12.14,565,挂牌610万,成交周期33天,54078,低楼层(共11层),2000年建板楼,南 , 精装
万泰花园,2室1厅,66.49平米,https://sh.lianjia.com/chengjiao/107102059658.html,2019.12.11,352,挂牌368万,成交周期2天,52941,中楼层(共6层),1997年建板楼,南 , 精装
黎明花园,2室1厅,52.26平米,https://sh.lianjia.com/chengjiao/107101686219.html,2019.12.06,225,挂牌239万,成交周期103天,43054,中楼层(共6层),1996年建板楼,南 , 精装
三佳花苑,2室1厅,54.55平米,https://sh.lianjia.com/chengjiao/107101999337.html,2019.12.05,375,挂牌410万,成交周期15天,68745,中楼层(共6层),1994年建板楼,南 , 精装
园艺新村,3室1厅,68.21平米,https://sh.lianjia.com/chengjiao/107101784107.html,2019.12.05,376,挂牌390万,成交周期74天,55124,低楼层(共6层),1995年建板楼,南 北 , 简装
佳宝新村,2室1厅,61.9平米,https://sh.lianjia.com/chengjiao/107101938745.html,2019.12.01,280,挂牌306万,成交周期30天,45235,中楼层(共6层),1994年建板楼,南 , 毛坯
东方花园(一期),2室2厅,82.81平米,https://sh.lianjia.com/chengjiao/107101840165.html,2019.11.30,424,挂牌450万,成交周期52天,51202,高楼层(共6层),1998年建板楼,南 , 精装
黎明花园,1室1厅,52.24平米,https://sh.lianjia.com/chengjiao/107101427144.html,2020.01.11,232,挂牌244万,成交周期212天,44411,低楼层(共6层),1997年建板楼,南 , 简装
新都名园,2室2厅,82.62平米,https://sh.lianjia.com/chengjiao/107101613252.html,2020.01.08,445,挂牌450万,成交周期157天,53862,低楼层(共11层),2010年建板楼,南 , 精装
黎明花园,2室1厅,54.38平米,https://sh.lianjia.com/chengjiao/107102073969.html,2020.01.06,212,挂牌235万,成交周期24天,38985,高楼层(共6层),1995年建板楼,南 , 毛坯
秀枫翠谷,2室1厅,65.8平米,https://sh.lianjia.com/chengjiao/107101030578.html,2020.01.06,403,挂牌408万,成交周期321天,61247,低楼层(共6层),1994年建板楼,南 , 精装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101855201.html,2020.01.05,373,挂牌385万,成交周期84天,74111,低楼层(共6层),1995年建板楼,南 , 简装
秀枫翠谷,2室1厅,77.28平米,https://sh.lianjia.com/chengjiao/107101813178.html,2020.01.05,399,挂牌408万,成交周期96天,51605,高楼层(共6层),1994年建板楼,南 , 精装
富丽公寓(西区),2室2厅,86.51平米,https://sh.lianjia.com/chengjiao/107102110770.html,2020.01.05,425,挂牌458万,成交周期10天,49128,低楼层(共8层),1994年建板楼,南 , 精装
万科优诗美地,2室1厅,83.68平米,https://sh.lianjia.com/chengjiao/107102094793.html,2020.01.01,470,挂牌485万,成交周期12天,56167,中楼层(共11层),2000年建板楼,南 北 , 简装
学院新村,2室1厅,69.01平米,https://sh.lianjia.com/chengjiao/107101904855.html,2019.12.31,424,挂牌450万,成交周期69天,61441,高楼层(共6层),1997年建板楼,南 , 精装
万泰花园,2室1厅,68.48平米,https://sh.lianjia.com/chengjiao/107101961629.html,2019.12.30,365,挂牌380万,成交周期51天,53301,低楼层(共6层),1997年建板楼,南 , 简装
碧林湾(公寓),3室2厅,87.8平米,https://sh.lianjia.com/chengjiao/107101723508.html,2019.12.29,586,挂牌615万,成交周期115天,66743,高楼层(共6层),2004年建板楼,南 , 简装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101993408.html,2019.12.26,370,挂牌385万,成交周期38天,73515,中楼层(共6层),1995年建板楼,南 , 精装
惠明苑,2室2厅,94.53平米,https://sh.lianjia.com/chengjiao/107101438793.html,2019.12.25,445,挂牌460万,成交周期192天,47076,高楼层(共13层),2008年建板楼,南 , 毛坯
佳宝新村,2室1厅,61.39平米,https://sh.lianjia.com/chengjiao/107102004675.html,2019.12.25,278,挂牌288万,成交周期33天,45285,高楼层(共6层),1994年建板楼,南 , 精装
园艺新村,3室1厅,68.18平米,https://sh.lianjia.com/chengjiao/107101889717.html,2019.12.24,378,挂牌388万,成交周期67天,55442,低楼层(共6层),1995年建板楼,南 , 简装
茂盛城市花园,2室1厅,70.48平米,https://sh.lianjia.com/chengjiao/107102101534.html,2019.12.24,516,挂牌525万,成交周期1天,73213,中楼层(共6层),1999年建板楼,南 , 简装
万科城市花园,3室2厅,101.41平米,https://sh.lianjia.com/chengjiao/107102019527.html,2019.12.23,495,挂牌520万,成交周期26天,48812,低楼层(共7层),1995年建板楼,南 , 简装
万科魅力之城,2室1厅,90.69平米,https://sh.lianjia.com/chengjiao/107101998282.html,2019.12.22,511,挂牌535万,成交周期32天,56346,高楼层(共6层),2004年建板楼,南 , 简装
万科城市花园,2室1厅,50.23平米,https://sh.lianjia.com/chengjiao/107101980208.html,2019.12.22,290,挂牌310万,成交周期37天,57735,低楼层(共6层),1994年建板楼,南 , 精装
三佳花苑,2室1厅,58.64平米,https://sh.lianjia.com/chengjiao/107101393453.html,2019.12.19,388,挂牌408万,成交周期199天,66167,中楼层(共6层),1994年建板楼,南 北 , 精装
万科城花新园,3室2厅,98.57平米,https://sh.lianjia.com/chengjiao/107101904396.html,2019.12.15,621,挂牌650万,成交周期54天,63001,中楼层(共11层),2010年建板楼,南 北 , 精装
万科城市花园,2室2厅,73.48平米,https://sh.lianjia.com/chengjiao/107102060644.html,2019.12.15,378,挂牌395万,成交周期6天,51443,中楼层(共7层),1994年建板楼,南 , 精装
万泰花园,2室1厅,65.76平米,https://sh.lianjia.com/chengjiao/107102004049.html,2019.12.15,357,挂牌370万,成交周期23天,54289,中楼层(共6层),1997年建板楼,南 , 简装
万科优诗美地,3室2厅,104.48平米,https://sh.lianjia.com/chengjiao/107101971442.html,2019.12.14,565,挂牌610万,成交周期33天,54078,低楼层(共11层),2000年建板楼,南 , 精装
万泰花园,2室1厅,66.49平米,https://sh.lianjia.com/chengjiao/107102059658.html,2019.12.11,352,挂牌368万,成交周期2天,52941,中楼层(共6层),1997年建板楼,南 , 精装
黎明花园,2室1厅,52.26平米,https://sh.lianjia.com/chengjiao/107101686219.html,2019.12.06,225,挂牌239万,成交周期103天,43054,中楼层(共6层),1996年建板楼,南 , 精装
三佳花苑,2室1厅,54.55平米,https://sh.lianjia.com/chengjiao/107101999337.html,2019.12.05,375,挂牌410万,成交周期15天,68745,中楼层(共6层),1994年建板楼,南 , 精装
园艺新村,3室1厅,68.21平米,https://sh.lianjia.com/chengjiao/107101784107.html,2019.12.05,376,挂牌390万,成交周期74天,55124,低楼层(共6层),1995年建板楼,南 北 , 简装
佳宝新村,2室1厅,61.9平米,https://sh.lianjia.com/chengjiao/107101938745.html,2019.12.01,280,挂牌306万,成交周期30天,45235,中楼层(共6层),1994年建板楼,南 , 毛坯
东方花园(一期),2室2厅,82.81平米,https://sh.lianjia.com/chengjiao/107101840165.html,2019.11.30,424,挂牌450万,成交周期52天,51202,高楼层(共6层),1998年建板楼,南 , 精装
佳宝新村,2室1厅,64.81平米,https://sh.lianjia.com/chengjiao/107101829557.html,2019.11.30,306,挂牌318万,成交周期55天,47215,中楼层(共7层),1996年建板楼,南 , 精装
万科城花新园,3室2厅,98.57平米,https://sh.lianjia.com/chengjiao/107101485842.html,2019.11.28,655,挂牌670万,成交周期151天,66451,低楼层(共11层),2010年建板楼,南 , 精装
茂盛城市花园,2室1厅,70.48平米,https://sh.lianjia.com/chengjiao/107101485407.html,2019.11.24,495,挂牌508万,成交周期148天,70233,中楼层(共6层),1994年建板楼,南 , 简装
摩登堂,2室1厅,90.06平米,https://sh.lianjia.com/chengjiao/107101701790.html,2019.11.24,525,挂牌560万,成交周期86天,58295,低楼层(共18层),2010年建板楼,南 , 精装
万科城市花园,2室2厅,72.71平米,https://sh.lianjia.com/chengjiao/107101853089.html,2019.11.23,335,挂牌359万,成交周期41天,46074,高楼层(共8层),1995年建板楼,南 , 简装
白雪公主,2室2厅,96.1平米,https://sh.lianjia.com/chengjiao/107101103102.html,2019.11.20,500,挂牌515万,成交周期256天,51978,低楼层(共11层),2004年建板楼,南 , 精装
万科桂馨苑,2室2厅,96.7平米,https://sh.lianjia.com/chengjiao/107101453061.html,2019.11.19,590,挂牌610万,成交周期151天,61014,高楼层(共5层),2003年建板楼,南 北 , 精装
茂盛城市花园,3室1厅,88.58平米,https://sh.lianjia.com/chengjiao/107101292581.html,2019.11.18,580,挂牌608万,成交周期197天,65478,高楼层(共6层),1999年建板楼,南 北 , 精装
三佳花苑,2室1厅,50.33平米,https://sh.lianjia.com/chengjiao/107101920771.html,2019.11.18,388,挂牌400万,成交周期22天,77092,中楼层(共6层),1995年建板楼,南 , 精装
欣源公寓,2室2厅,87.5平米,https://sh.lianjia.com/chengjiao/107100661617.html,2019.11.18,403,挂牌412万,成交周期424天,46058,低楼层(共6层),1995年建板楼,南 北 , 简装
万兆家园(一期),2室2厅,74.97平米,https://sh.lianjia.com/chengjiao/107101958319.html,2019.11.18,398,挂牌420万,成交周期10天,53088,低楼层(共6层),2000年建板楼,南 , 简装
东方花园(一期),3室2厅,93.62平米,https://sh.lianjia.com/chengjiao/107101743606.html,2019.11.14,495,挂牌535万,成交周期64天,52820,中楼层(共6层),1998年建板楼,南 , 精装
万科城市花园,2室2厅,89.33平米,https://sh.lianjia.com/chengjiao/107100691359.html,2019.11.14,426,挂牌445万,成交周期408天,47689,中楼层(共12层),1995年建板楼,南 , 精装
西郊英园,1室1厅,59.09平米,https://sh.lianjia.com/chengjiao/107002112225.html,2019.11.11,281,挂牌290万,成交周期829天,47555,中楼层(共11层),2010年建板楼,南 , 精装
园艺新村,2室1厅,63.44平米,https://sh.lianjia.com/chengjiao/107101924220.html,2019.11.08,345,挂牌350万,成交周期10天,54383,中楼层(共6层),1995年建板楼,南 , 毛坯
金泰公寓,2室1厅,59.9平米,https://sh.lianjia.com/chengjiao/107101575794.html,2019.11.07,404,挂牌425万,成交周期104天,67413,中楼层(共6层),1995年建板楼,南 北 , 精装
三佳花苑,2室1厅,79.44平米,https://sh.lianjia.com/chengjiao/107101254042.html,2019.11.06,500,挂牌515万,成交周期197天,62941,高楼层(共6层),1995年建板楼,南 , 精装
华莘花园,2室1厅,79.98平米,https://sh.lianjia.com/chengjiao/107101803536.html,2019.11.06,360,挂牌380万,成交周期39天,45012,中楼层(共6层),1999年建板楼,南 , 简装
水榭花堤,1室1厅,55.19平米,https://sh.lianjia.com/chengjiao/107101907293.html,2019.11.05,310,挂牌348万,成交周期12天,56170,低楼层(共14层),2005年建板楼,南 , 简装
金球花园,2室2厅,97.96平米,https://sh.lianjia.com/chengjiao/107101812490.html,2019.11.03,432,挂牌509万,成交周期33天,44100,中楼层(共6层),1997年建板楼,南 北 , 精装
牡丹新村,2室1厅,55.89平米,https://sh.lianjia.com/chengjiao/107101153314.html,2019.10.31,273,挂牌282万,成交周期222天,48846,低楼层(共6层),1993年建板楼,东 , 精装
万泰花园,2室1厅,66.61平米,https://sh.lianjia.com/chengjiao/107101913504.html,2019.10.30,360,挂牌370万,成交周期4天,54046,中楼层(共6层),1997年建板楼,南 , 其他
园艺新村,2室1厅,77.89平米,https://sh.lianjia.com/chengjiao/107101916109.html,2019.10.29,388,挂牌420万,成交周期3天,49814,中楼层(共6层),1997年建板楼,南 , 精装
牡丹公寓,2室1厅,72.77平米,https://sh.lianjia.com/chengjiao/107101660877.html,2019.10.29,365,挂牌388万,成交周期71天,50159,中楼层(共6层),1996年建板楼,南 , 简装
白雪公主,2室2厅,91.58平米,https://sh.lianjia.com/chengjiao/107101636937.html,2019.10.27,570,挂牌595万,成交周期76天,62241,高楼层(共11层),2004年建板楼,南 , 精装
园艺新村,2室1厅,68.67平米,https://sh.lianjia.com/chengjiao/107101845495.html,2019.10.24,367,挂牌380万,成交周期13天,53372,中楼层(共6层),1995年建板楼,南 , 其他
万泰花园,2室1厅,66.47平米,https://sh.lianjia.com/chengjiao/107101844476.html,2019.10.21,350,挂牌369万,成交周期10天,52656,低楼层(共6层),1997年建板楼,南 , 其他
