团结花苑,2室1厅,74.94平米,https://sh.lianjia.com/chengjiao/107101974269.html,2020.01.14,345,挂牌370万,成交周期63天,46037,中楼层(共5层),暂无数据,南 , 简装
春申府邸,3室2厅,101.3平米,https://sh.lianjia.com/chengjiao/107101171419.html,2020.01.13,425,挂牌445万,成交周期290天,41955,高楼层(共6层),2007年建板楼,南 北 , 精装
金铭新水岸,2室2厅,101.2平米,https://sh.lianjia.com/chengjiao/107100928293.html,2020.01.13,530,挂牌545万,成交周期379天,52372,中楼层(共11层),2004年建板楼,南 , 简装
好世鹿鸣苑,1室2厅,66.85平米,https://sh.lianjia.com/chengjiao/107101903642.html,2020.01.12,432,挂牌460万,成交周期82天,64623,低楼层(共17层),2009年建板楼,南 , 精装
报春四村,1室1厅,50.05平米,https://sh.lianjia.com/chengjiao/107101938272.html,2020.01.12,206,挂牌212万,成交周期72天,41159,高楼层(共6层),1994年建板楼,南 , 精装
水清二村,2室1厅,87.06平米,https://sh.lianjia.com/chengjiao/107102056562.html,2020.01.12,394,挂牌398万,成交周期35天,45257,高楼层(共6层),1997年建板楼,南 , 精装
莘松三村,2室1厅,63.46平米,https://sh.lianjia.com/chengjiao/107102045227.html,2020.01.12,418,挂牌430万,成交周期39天,65869,低楼层(共6层),1988年建板楼,南 , 简装
莘松四村,2室1厅,72.6平米,https://sh.lianjia.com/chengjiao/107102145463.html,2020.01.11,301,挂牌320万,成交周期4天,41461,高楼层(共6层),1992年建板楼,南 , 精装
沁春园一村,2室1厅,70.58平米,https://sh.lianjia.com/chengjiao/107101713303.html,2020.01.10,271,挂牌279万,成交周期130天,38397,高楼层(共6层),1994年建板楼,南 , 精装
品家都市星城,1室2厅,69.13平米,https://sh.lianjia.com/chengjiao/107101197863.html,2020.01.05,446,挂牌455万,成交周期274天,64444,中楼层(共17层),2008年建板楼,南 , 精装
沁春园三村,1室1厅,52.87平米,https://sh.lianjia.com/chengjiao/107101830625.html,2020.01.05,268,挂牌280万,成交周期90天,50691,高楼层(共6层),2004年建板楼,南 东 , 简装
华丽家园,2室2厅,97.6平米,https://sh.lianjia.com/chengjiao/107100124162.html,2020.01.04,485,挂牌496万,成交周期654天,49693,低楼层(共11层),2003年建板楼,南 北 , 精装
莘南花苑一村,3室1厅,78.97平米,https://sh.lianjia.com/chengjiao/107101842311.html,2020.01.04,447,挂牌450万,成交周期85天,56541,低楼层(共6层),1997年建板楼,南 , 简装
上海康城,2室2厅,103.14平米,https://sh.lianjia.com/chengjiao/107102122063.html,2020.01.04,380,挂牌385万,成交周期5天,36795,低楼层(共18层),2005年建板楼,南 , 简装
